Hackathon,Website,Start Date,End Date,City,State
hackMHS,http://hackmhs.com/,2019-04-06,2019-04-07,Millburn,NJ
HackTJ,https://hacktj.org/,2019-04-06,2019-04-07,Alexandria,VA
HackUNT,https://unthackathon.com/,2019-04-06,2019-04-07,Denton,TX
HackXX,https://www.hackxx.io/,2019-04-06,2019-04-07,San Diego,CA
HatterHacks,http://greatercentralfloridatechfaire.com/,2019-04-06,2019-04-07,DeLand,FL
Minerva Hackathon,https://minervahacks.com,2019-04-06,2019-04-07,San Francisco,CA
Bitcamp,https://bit.camp/,2019-04-12,2019-04-14,College Park,MD
HackSC,https://hacksc.com/,2019-04-12,2019-04-14,Los Angeles,CA
Def Hacks Seattle 2019,http://defhacks.io/hackathons/seattle.html,2019-04-13,2019-04-14,Redmond,WA
HackHouston,http://hackhouston.io/,2019-04-13,2019-04-14,Houston,TX
Hack the Heights   ,http://hacktheheights.com/,2019-04-13,2019-04-14,Chestnut Hill,MA
KleinHacks,https://kleinhacks.com/,2019-04-13,2019-04-14,Spring,TX
PackHacks,http://www.ncsupackhacks.org/,2019-04-13,2019-04-14,Raleigh,NC
RowdyHacks,https://www.rowdyhacks.org/,2019-04-13,2019-04-14,San Antonio,TX
BeachHacks,https://www.beachhacks.com/,2019-04-20,2019-04-21,Long Beach,CA
DragonHacks 2019,http://dragonhacks.io/,2019-04-20,2019-04-21,Philadelphia,PA
Citrus Hack,https://www.citrushack.com/,2019-04-26,2019-04-28,Riverside,CA
PoliHacks,http://polihacks.com/,2019-05-03,2019-05-05,Mexico City,MX
PC Hacks  ,http://pchacks.ca/,2019-05-04,2019-05-05,Mississauga,ON
RU Hacks 2019,https://2019.ruhacks.com/,2019-05-17,2019-05-19,Toronto,ON
TeenHacks LI,https://teenhacksli.com/,2019-05-25,2019-05-26,Old Westbury,NY
uwEnergyHacks,https://uwen.ca/hacks,2019-06-01,2019-06-02,Waterloo,ON
EngHack,https://enghack.com/,2019-06-21,2019-06-23,Waterloo,ON
